project,repository,description,last activity,selected 
dltk,org.eclipse.dltk.python.git,,5 days,0
dltk,org.eclipse.dltk.releng.git,,5 days,0
dltk,org.eclipse.dltk.ruby.git,,5 days,0
dltk,org.eclipse.dltk.sh.git,"Unnamed repository, edit this file 'description' to name the repository.",6 hours,0
dltk,org.eclipse.dltk.tcl.git,,5 days,0
e4,eclipse.platform.runtime.e4.git,Not used anymore,5 years,0
e4,eclipse.platform.ui.compat.git,Not used anymore,5 years,0
e4,eclipse.platform.ui.e4.git,Not used anymore,5 years,0
e4,org.eclipse.e4.databinding.git,,9 months,1
e4,org.eclipse.e4.deeplink.git,Not used anymore,4 weeks,0
e4,org.eclipse.e4.installer.git,Not used anymore,4 weeks,0
e4,org.eclipse.e4.languages.git,Not used anymore,4 weeks,0
e4,org.eclipse.e4.releng.git,Not used anymore,22 months,0
e4,org.eclipse.e4.resources.git,Not used anymore,4 weeks,0
e4,org.eclipse.e4.search.git,Not used anymore,4 weeks,0
e4,org.eclipse.e4.tools.git,,5 weeks,1
e4,org.eclipse.e4.ui.git,Several plug-ins from this Git repository have been migrated to eclipse.platform...,9 weeks,0
e4,org.eclipse.e4.utils.git,Not used anymore,4 weeks,0
e4,org.eclipse.jdt.core.git,Eclipse JDT Core (e4 incubation and testing only),6 years,0
e4,org.eclipse.migration.git,Not used anymore,4 years,0
ease,org.eclipse.ease.core.git,EASE core components and engines,12 days,1
ease,org.eclipse.ease.modules.git,EASE modules,5 days,1
ease,org.eclipse.ease.scripts.git,EASE sample scripts,12 days,0
eatop,org.eclipse.eatop.git,EATOP Project Repository,9 months,1
eavp,eavp.git,"Unnamed repository, edit this file 'description' to name the repository.",12 months,1
ecf,ecf.git,ECF project website,3 days,0
ecf,org.eclipse.ecf.git,Eclipse Communication Framework,3 days,1
eclemma,org.eclipse.eclemma.git,"Unnamed repository, edit this file 'description' to name the repository.",4 months,1
eclipselink,eclipselink.releng.git,EclipseLink release engineering repository,20 months,0
eclipselink,eclipselink.runtime.git,Repository that contains the eclipselink Runtime.,8 days,1
eclipselink,eclipselink.utils.temp.git,Interrim repo for development time utility development,3 years,0
eclipselink,examples.git,EclipseLink examples repository,9 months,0
eclipselink,examples/mysports.git,EclipseLink MySports example repository,2 years,0
eclipselink,examples/nosql.git,EclipseLink repository for NoSQL examples,,0
eclipselink,examples/performance.git,EclipseLink repository for performance benchmark related examples,3 years,0
eclipselink,examples/temporal.git,EclipseLink repository for temporal framework and example,5 years,0
eclipselink,incubator.git,EclipseLink repository for experimental new features and platform support,4 years,0
eclipselink,javax.persistence.git,Java Persistence API repo. Latest may be based upon draft specifications.,14 months,0
eclipselink,oracleddlparser.git,EclipseLink repository for DDL parsing feature,21 months,0
eclipsescada,org.eclipse.scada.base.git,Eclipse SCADA (Base),5 days,1
eclipsescada,org.eclipse.scada.chart.git,Eclipse SCADA (Chart),5 days,1
eclipsescada,org.eclipse.scada.core.git,Eclipse SCADA (Core),5 days,1
eclipsescada,org.eclipse.scada.deploy.git,Eclipse SCADA (Deploy),5 days,0
eclipsescada,org.eclipse.scada.external.git,Eclipse SCADA (External),5 days,1
eclipsescada,org.eclipse.scada.hmi.git,Eclipse SCADA (HMI),5 days,1
eclipsescada,org.eclipse.scada.ide.git,Eclipse SCADA (IDE),5 days,1
eclipsescada,org.eclipse.scada.protocols.git,Eclipse SCADA (Protocols),5 days,1
