project,repository,description,last activity,selected 
jsf,webtools.jsf.git,jsf project repository,3 months,1
jsf,webtools.jsf.tests.git,jsf project repository,12 days,0
jubula,org.eclipse.jubula.ci.git,"Unnamed repository, edit this file 'description' to name the repository.",9 months,0
jubula,org.eclipse.jubula.core.git,Jubula Functional Testing Tool,27 hours,1
jwt,org.eclipse.soa.jwt.git,soa.jwt project repository,7 months,1
kapua,org.eclipse.kapua.git,"Unnamed repository, edit this file 'description' to name the repository.",5 months,1
koneki,org.eclipse.koneki.commons.git,Koneki - Commons,4 years,0
koneki,org.eclipse.koneki.ldt.git,Koneki - Lua Development Tools,3 years,0
koneki,org.eclipse.koneki.metalua.git,Koneki - Static metaprogramming system for Lua,2 years,0
koneki,org.eclipse.koneki.mfe.git,Koneki - Modeling for Embedded Development,5 years,0
koneki,org.eclipse.koneki.mfe.linux.git,Koneki - Modeling for Embedded Development (Linux),5 years,0
koneki,org.eclipse.koneki.mihini.git,Koneki - Target Managment tooling for Mihini,3 years,0
koneki,org.eclipse.koneki.models.git,Koneki - M2M Models,5 years,0
koneki,org.eclipse.koneki.protocols.git,Koneki - Protocols tooling,5 years,0
koneki,org.eclipse.koneki.simulators.git,Koneki - Simulators tooling,4 years,0
krikkit,org.eclipse.krikkit.git,krikkit project repository,8 months,1
ldt,org.eclipse.ldt.git,Lua Development Tools (LDT) - Eclipse tooling for Lua,3 months,1
ldt,org.eclipse.metalua.git,Metalua - Static metaprogramming system for Lua,2 years,0
libra,org.eclipse.libra.git,Libra git repository,5 weeks,1
linuxtools,org.eclipse.linuxtools.eclipse-build.git,,9 weeks,0
linuxtools,org.eclipse.linuxtools.git,Linux Tools,17 hours,1
lsp4e,lsp4e.git,,26 hours,1
lsp4j,org.eclipse.lsp4j.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,1
lyo,org.eclipse.lyo.adapter.magicdraw.git,"Unnamed repository, edit this file 'description' to name the repository.",8 months,0
lyo,org.eclipse.lyo.adapter.simulink.git,[no description],8 months,0
lyo,org.eclipse.lyo.client.git,Lyo client libraries and sample code,5 days,0
lyo,org.eclipse.lyo.core.git,Lyo core libraries and SDKs,5 days,1
lyo,org.eclipse.lyo.dependencies.git,lyo project repository,4 years,0
lyo,org.eclipse.lyo.docs.git,Lyo documentation, tutorials and workshops,8 months,0
lyo,org.eclipse.lyo.git,Unused,,0
lyo,org.eclipse.lyo.ldp.git,,8 months,0
lyo,org.eclipse.lyo.rio.git,Lyo reference implementations for OSLC (RIOs),8 months,0
lyo,org.eclipse.lyo.server.git,Lyo service provider sample code and sample adapter implementations,8 months,0
lyo,org.eclipse.lyo.testsuite.git,Lyo OSLC test suites and reports,8 months,0
lyo,org.eclipse.lyo.tools.git,"Unnamed repository, edit this file 'description' to name the repository.",12 days,0
m2e,m2e-core.git,m2e main repository.,12 days,1
m2e,m2e-discovery-catalog.git,m2e extension catalog repository.,2 years,0
m2e,org.eclipse.m2e.workspace.git,[no description],19 months,0
m2e-wtp,org.eclipse.m2e.wtp.git,m2e-wtp main source repository,7 weeks,1
m2e-wtp,org.eclipse.m2e.wtp.jpa.git,m2e wtp project repository,3 months,0
m2t,org.eclipse.acceleo.git,,3 years,0
m2t,org.eclipse.jet.git,JET git repository,2 years,0
m2t,org.eclipse.xpand.git,Xpand git repository,10 months,1
mangrove,org.eclipse.mangrove.git,soa.mangrove project repository,22 months,0
mat,org.eclipse.mat.git,"Unnamed repository, edit this file 'description' to name the repository.",2 days,1
mdht,org.eclipse.mdht.git,"Unnamed repository, edit this file 'description' to name the repository.",2 months,1
mdmbl,org.eclipse.mdm.api.base.git,"Unnamed repository, edit this file 'description' to name the repository.",2 months,1
mdmbl,org.eclipse.mdm.api.default.git,"Unnamed repository, edit this file 'description' to name the repository.",2 months,1
mdmbl,org.eclipse.mdm.api.odsadapter.git,"Unnamed repository, edit this file 'description' to name the repository.",2 months,1
mdmbl,org.eclipse.mdm.api.uml.git,"Unnamed repository, edit this file 'description' to name the repository.",13 months,0
mdmbl,org.eclipse.mdm.mdfsorter.git,"Unnamed repository, edit this file 'description' to name the repository.",4 months,1
mdmbl,org.eclipse.mdm.nucleus.git,"Unnamed repository, edit this file 'description' to name the repository.",24 hours,1
mdmbl,org.eclipse.mdm.openatfx.mdf.git,"Unnamed repository, edit this file 'description' to name the repository.",4 months,1
mdmbl,org.eclipse.mdm.realms.git,"Unnamed repository, edit this file 'description' to name the repository.",4 months,1
mdmbl,org.eclipse.mdmbl.git,"Unnamed repository, edit this file 'description' to name the repository.",14 months,0
mdmweb,org.eclipse.mdmweb.architecture.git,"Unnamed repository, edit this file 'description' to name the repository.",10 months,1
mdmweb,org.eclipse.mdmweb.dataprovider.git,"Unnamed repository, edit this file 'description' to name the repository.",10 months,1
mdmweb,org.eclipse.mdmweb.doc.git,"Unnamed repository, edit this file 'description' to name the repository.",15 months,0
mdmweb,org.eclipse.mdmweb.explorer.git,"Unnamed repository, edit this file 'description' to name the repository.",10 months,1
mdmweb,org.eclipse.mdmweb.injector.git,"Unnamed repository, edit this file 'description' to name the repository.",10 months,1
mdmweb,org.eclipse.mdmweb.openmdm-api.git,"Unnamed repository, edit this file 'description' to name the repository.",10 months,1
mdmweb,org.eclipse.mdmweb.openmdm-core.git,"Unnamed repository, edit this file 'description' to name the repository.",10 months,1
mdmweb,org.eclipse.mdmweb.requirements.git,"Unnamed repository, edit this file 'description' to name the repository.",19 months,1
mdmweb,org.eclipse.mdmweb.richclient.git,"Unnamed repository, edit this file 'description' to name the repository.",10 months,1
mdmweb,org.eclipse.mdmweb.server.git,"Unnamed repository, edit this file 'description' to name the repository.",10 months,1
mdmweb,org.eclipse.mdmweb.tools.git,"Unnamed repository, edit this file 'description' to name the repository.",10 months,1
milo,milo.git,"Unnamed repository, edit this file 'description' to name the repository.",8 months,1
mmt,org.eclipse.atl.git,mmt project repository,3 weeks,1
mmt,org.eclipse.atl.tcs.git,mmt project repository,21 months,0
mmt,org.eclipse.qvtd.git,mmt project repository,5 days,1
mmt,org.eclipse.qvto.git,mmt project repository,3 weeks,1
modisco,org.eclipse.modisco.git,"Unnamed repository, edit this file 'description' to name the repository.",2 days,1
mosquitto,org.eclipse.mosquitto.git,mosquitto project repository,9 months,1
mosquitto,org.eclipse.mosquitto.rsmb.git,Really Small Message Broker,2 years,0
mpc,org.eclipse.epp.mpc.git,Marketplace Client,4 weeks,1
mtj,org.eclipse.mtj.git,mtj project repository,16 months,1
mtj,org.eclipse.mtj.git.old,mtj project repository,6 years,0
mylyn,org.eclipse.mylyn.all.git,Mylyn (All),41 hours,1
mylyn,org.eclipse.mylyn.builds.git,Mylyn (Builds),5 days,0
mylyn,org.eclipse.mylyn.commons.git,Mylyn Commons,5 days,1
mylyn,org.eclipse.mylyn.commons.git.back,,3 years,0
mylyn,org.eclipse.mylyn.context.git,Mylyn Context,6 weeks,1
mylyn,org.eclipse.mylyn.context.mft.git,Mylyn Context MFT,24 months,0
mylyn,org.eclipse.mylyn.docs.git,Mylyn Docs,41 hours,0
mylyn,org.eclipse.mylyn.docs.vex.git,Mylyn Docs Vex,4 months,0
mylyn,org.eclipse.mylyn.git,Mylyn,12 days,1
mylyn,org.eclipse.mylyn.incubator.git,Mylyn (Incubator),5 months,1
mylyn,org.eclipse.mylyn.reviews.git,Mylyn Reviews,5 days,0
mylyn,org.eclipse.mylyn.reviews.ui.git,Mylyn Reviews UI Integration - Temporary Repository for Migration of Contributed...,6 years,0
mylyn,org.eclipse.mylyn.tasks.git,Mylyn Tasks,5 days,0
mylyn,org.eclipse.mylyn.versions.git,Mylyn Versions,9 weeks,0
nattable,org.eclipse.nebula.widgets.nattable.experimental.git,NatTable Experimental,3 years,0
nattable,org.eclipse.nebula.widgets.nattable.git,High performance SWT data grid,3 days,1
nebula,nebula.git,technology.nebula project website,3 months,0
nebula,org.eclipse.nebula.git,Nebula,21 hours,1
objectteams,org.eclipse.objectteams.git,Eclipse Object Teams Project repository,22 hours,1
ocl,org.eclipse.ocl.git,OCL,2 days,1
ogee,org.eclipse.ogee.git,Ogee,8 months,1
om2m,om2m-legacy.git,"Unnamed repository, edit this file 'description' to name the repository.",12 months,0
om2m,org.eclipse.om2m.git,om2m project repository,5 days,1
omr,omr.git,"Unnamed repository, edit this file 'description' to name the repository.",9 months,1
oomph,org.eclipse.oomph.git,Oomph main repository,15 min.,1
oomph,org.eclipse.oomph.incubator.git,Oomph incubating components,5 months,1
oomph,org.eclipse.oomph.setups.git,Oomph setup models,5 months,0
oomph,uss.git,"Unnamed repository, edit this file 'description' to name the repository.",4 months,0
openk-platform,org.eclipse.openk-platform.openk-repo.git,"Unnamed repository, edit this file 'description' to name the repository.",4 weeks,1
orbit,orbit-recipes.git,Recipes for Orbit bundles.,5 days,1
orion,org.eclipse.orion.client.git,Orion Client,16 hours,1
orion,org.eclipse.orion.design.git,This repository contains design artifacts for the Eclipse Orion project.,2 years,0
orion,org.eclipse.orion.marketplace.git,Orion Marketplace,3 years,0
orion,org.eclipse.orion.server.git,Orion Server,12 days,1
orion,orion-parent.git,Permissions for Orion project,16 months,0
osbp,osbp.git,"Unnamed repository, edit this file 'description' to name the repository.",7 months,1
osee,org.eclipse.osee.git,OSEE,5 days,1
osee,org.eclipse.ote.git,OSEE OTE,5 days,1
paho,org.eclipse.paho.apps.git,MQTT sample and example applications,2 years,0
paho,org.eclipse.paho.esf.git,MQTT Application Framework,2 years,0
paho,org.eclipse.paho.mqtt-sn.apps.git,MQTT-SN reference code and sample applications,2 years,0
paho,org.eclipse.paho.mqtt.embedded-c.git,MQTT Client Package - C for embedded devices,16 months,0
paho,org.eclipse.paho.mqtt.lua.git,MQTT Client Package - Lua language,8 months,0
paho,org.eclipse.paho.mqtt.objc.git,MQTT Client Package - Objective-C Language,2 years,0
paho.incubator,org.eclipse.paho.mqtt.lua.git,"Unnamed repository, edit this file 'description' to name the repository.",20 months,0
paho.incubator,smidge.git,An MQTT-SN client and gateway implementation in Go,20 months,0
papyrus,org.eclipse.papyrus-designer-extra.git,Papyrus Designer Extra,4 months,1
papyrus,org.eclipse.papyrus-designer.git,Papyrus for Designer,2 days,1
papyrus,org.eclipse.papyrus-informationmodeling.git,Papyrus for Information Modeling,5 days,1
papyrus,org.eclipse.papyrus-marte.git,Papyrus Marte,2 months,1
papyrus,org.eclipse.papyrus-moka.git,Papyrus model execution framework,2 days,1
papyrus,org.eclipse.papyrus-productline.git,Papyrus for productline,8 months,1
papyrus,org.eclipse.papyrus-robotml.git,Papyrus for Robotml,2 months,1
papyrus,org.eclipse.papyrus-sysml.git,Papyrus for Sysml,24 hours,1
papyrus,org.eclipse.papyrus.git,modeling.mdt.papyrus project repository,5 hours,1
papyrus,org.eclipse.papyrus.tools.git,Papyrus Tools,5 days,1
papyrus-rt,org.eclipse.papyrus-rt.git,,5 days,0
papyrus-xtuml,papyrus-xtuml.git,"Unnamed repository, edit this file 'description' to name the repository.",5 months,0
pde,eclipse.pde.build.git,Eclipse PDE Build,5 days,0
pde,eclipse.pde.git,Eclipse PDE (Merged in eclipse.pde.ui.git post 4.6M5),6 months,0
pde,eclipse.pde.incubator.git,Eclipse PDE Incubator,5 years,0
pde,eclipse.pde.ui.git,Eclipse PDE UI,22 hours,1
pdt,org.eclipse.pdt.git,Eclipse PDT,47 hours,1
planeteclipse.org,planeteclipse.org.git,planeteclipse.org website repository.,42 hours,1
platform,eclipse.platform.common.git,Eclipse Platform Common,5 days,1
platform,eclipse.platform.debug.git,Eclipse Platform Debug,29 hours,1
platform,eclipse.platform.git,Eclipse Platform,5 days,1
platform,eclipse.platform.images.git,Eclipse Platform Images,5 days,0
platform,eclipse.platform.news.git,This repository is obsolete.,2 years,0
platform,eclipse.platform.releng.aggregator.git,Eclipse Platform Aggregator,68 min.,0
platform,eclipse.platform.releng.basebuilder.git,This repository is obsolete.,2 years,0
platform,eclipse.platform.releng.buildtools.git,Eclipse Platform Build Tools,3 weeks,1
platform,eclipse.platform.releng.eclipsebuilder.git,Eclipse Platform EclipseBuilder,2 years,0
platform,eclipse.platform.releng.git,Eclipse Platform Releng,74 min.,0
platform,eclipse.platform.releng.maps.git,Eclipse Releng map files,2 years,0
platform,eclipse.platform.resources.git,Eclipse Platform Resources,5 days,1
platform,eclipse.platform.runtime.git,Eclipse Platform Runtime,5 days,1
platform,eclipse.platform.swt.binaries.git,Eclipse Platform SWT Binaries,14 hours,0
platform,eclipse.platform.swt.git,Eclipse Platform SWT,40 min.,1
platform,eclipse.platform.team.git,Eclipse Platform Team,5 days,1
platform,eclipse.platform.text.git,Eclipse Platform Text,5 days,1
platform,eclipse.platform.ua.git,Eclipse Platform UA,5 days,1
platform,eclipse.platform.ui.git,Platform UI Git repository,24 hours,1
platform,eclipse.platform.ui.tools.git,Eclipse Platform UI Tools,5 days,1
pmf,org.eclipse.pmf.git,"Unnamed repository, edit this file 'description' to name the repository.",7 months,1
ptp,org.eclipse.photran.git,,5 days,1
ptp,org.eclipse.ptp.doc.git,,3 years,0
ptp,org.eclipse.ptp.git,,5 days,1
ptp,org.eclipse.ptp.master.git,,5 days,1
ptp,org.eclipse.remote.git,ptp project repository,5 days,1
r4e,org.eclipse.mylyn.reviews.r4e.git,r4e project repository,24 months,0
rap,incubator/org.eclipse.rap.incubator.chart.git,,5 months,1
rap,incubator/org.eclipse.rap.incubator.clientscripting.git,"Unnamed repository, edit this file 'description' to name the repository.",3 years,0
rap,incubator/org.eclipse.rap.incubator.cnf.git,Common Navigator Framework (CNF) port for RAP (Incubation),3 years,0
rap,incubator/org.eclipse.rap.incubator.dropdown.git,Dropdown component for RAP,3 weeks,1
rap,incubator/org.eclipse.rap.incubator.e4.git,,3 weeks,1
rap,incubator/org.eclipse.rap.incubator.fileupload.git,File upload additions for RAP (Incubation),7 months,1
rap,incubator/org.eclipse.rap.incubator.gef.git,Graphical Editing Framework (GEF) port for RAP (Incubation),6 weeks,1
rap,incubator/org.eclipse.rap.incubator.nebula-grid.git,Nebula grid widget for RAP,2 years,0
rap,incubator/org.eclipse.rap.incubator.osgi-packaging.git,,17 months,0
rap,incubator/org.eclipse.rap.incubator.pde.git,Plugin-spy and error log view for RAP (ported from PDE),2 months,1
rap,incubator/org.eclipse.rap.incubator.releng.git,,6 months,0
rap,incubator/org.eclipse.rap.incubator.richtext.git,,12 months,1
rap,incubator/org.eclipse.rap.incubator.spreadsheet.git,Spreadsheet component for RAP (Incubation),3 years,0
rap,incubator/org.eclipse.rap.incubator.tabbed-properties.git,Tabbed properties view for RAP (Incubation),3 years,0
rap,incubator/org.eclipse.rap.incubator.texteditor.git,Text editors for Eclipse RAP (Incubation),,0
rap,incubator/org.eclipse.rap.incubator.themeeditor.git,Theme editor for RAP Tooling (Incubation),5 years,0
rap,incubator/org.eclipse.rap.incubator.visualization.git,Google Visualization widgets for RAP (Incubation),3 years,0
rap,org.apache.tomcat.git,Tomcat bundle used in RAP integration tests,5 years,0
rap,org.eclipse.rap.git,RAP itself,28 hours,1
rap,org.eclipse.rap.tools.git,RAP Tools for Eclipse IDE,28 hours,1
rcptt,org.eclipse.rcptt.git,rcptt project repository,5 days,1
rcptt,org.eclipse.rcptt.git.back,rcptt project repository,2 years,0
rcptt,org.eclipse.rcptt.mockups.git,"Unnamed repository, edit this file 'description' to name the repository.",2 years,0
rdf4j,org.eclipse.rdf4j.git,"Unnamed repository, edit this file 'description' to name the repository.",18 months,0
recommenders,org.eclipse.recommenders.3rd.git,recommenders project repository,5 years,0
recommenders,org.eclipse.recommenders.benchmarks.git,recommenders project repository,,0
recommenders,org.eclipse.recommenders.examples.git,recommenders project repository,3 years,0
recommenders,org.eclipse.recommenders.git,Eclipse Code Recommenders,5 days,1
recommenders,org.eclipse.recommenders.releng.git,recommenders project repository,5 years,0
recommenders,org.eclipse.recommenders.snipmatch.snippets.git,[no description],7 months,0
recommenders.incubator,org.eclipse.recommenders.args.git,recommenders.incubator project repository,3 years,0
recommenders.incubator,org.eclipse.recommenders.codesearch.git,recommenders.incubator project repository,2 years,0
recommenders.incubator,org.eclipse.recommenders.livedoc.git,,2 years,0
recommenders.incubator,org.eclipse.recommenders.logging.git,[no description],2 years,0
recommenders.incubator,org.eclipse.recommenders.privacy.git,recommenders.incubator project repository,3 weeks,1
recommenders.incubator,org.eclipse.recommenders.snipmatch.git,,12 days,1
recommenders.incubator,org.eclipse.recommenders.snipmatch.snippets.git,,3 years,0
recommenders.incubator,org.eclipse.recommenders.stats.git,,4 weeks,0
refactor,org.eclipse.emf.refactor.build.git,modeling.emft.refactor project repository,3 years,0
refactor,org.eclipse.emf.refactor.core.git,EMF Refactor Core Component,3 years,0
refactor,org.eclipse.emf.refactor.documentation.git,EMF Refactor Documentation,4 years,0
refactor,org.eclipse.emf.refactor.examples.git,EMF Refactor Examples,3 years,0
refactor,org.eclipse.emf.refactor.features.git,EMF Refactor Features,3 years,0
refactor,org.eclipse.emf.refactor.metrics.git,EMF Refactor Metrics Component,22 months,0
refactor,org.eclipse.emf.refactor.refactoring.git,EMF Refactor Refactoring Component,22 months,0
refactor,org.eclipse.emf.refactor.smells.git,EMF Refactor Smells Component,22 months,0
remus,org.eclipse.remus.git,technology.remus project repository,4 years,0
richbeans,richbeans.git,"Unnamed repository, edit this file 'description' to name the repository.",13 months,0
riena,org.eclipse.riena.3xtargets.git,Repository for maintaining 3x targetplatforms with new SWT bundles for use in Ri...,6 months,0
riena,org.eclipse.riena.git,Central Riena repo with most of the runtime/development components,12 days,1
riena,org.eclipse.riena.old.git,Riena repo with old bundles that are no longer used and just kept and migrated f...,5 years,0
riena,org.eclipse.riena.rap.git,Riena components for running Riena in the web on top of RAP,8 months,1
riena,org.eclipse.riena.setup.git,riena project repository,18 months,0
riena,org.eclipse.riena.toolbox.git,Riena repo with all the toolbox bundles that are installed into the Eclipse IDE,2 years,0
rmf,org.eclipse.rmf.documentation.git,rmf project repository,5 weeks,0
rmf,org.eclipse.rmf.git,Requirements Modeling Framework (RMF) Repository (http://eclipse.org/rmf),3 weeks,1
rtp,org.eclipse.rtp.git,Eclipse Runtime Packaging http://eclipse.org/rtp/,4 years,0
rtsc,org.eclipse.rtsc.committer.git,org.eclipse.rtsc.committer.git - Experimental forks of the RTSC tools,23 months,0
rtsc,org.eclipse.rtsc.contrib.git,org.eclipse.rtsc.contrib.git - Contributed target and platform support,23 months,0
rtsc,org.eclipse.rtsc.test.git,org.eclipse.rtsc.test.git - Regression test suite,23 months,0
rtsc,org.eclipse.rtsc.training.git,org.eclipse.rtsc.training.git - Tutorial and training materials,23 months,0
rtsc,org.eclipse.rtsc.xdccore.git,org.eclipse.rtsc.xdccore.git - Main RTSC repo,2 months,1
sandbox,egit-training.git,Example repository used for Git tutorials,2 weeks,1
sapphire,org.eclipse.corundum.git,"Unnamed repository, edit this file 'description' to name the repository.",2 months,1
sapphire,org.eclipse.sapphire.git,Sapphire Repository,2 months,1
sapphire,org.eclipse.yaml.git,"Unnamed repository, edit this file 'description' to name the repository.",,0
sca,org.eclipse.sca.tools.git,Git repository for SCA Tools,4 years,0
scanning,org.eclipse.scanning.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,1
scout,maven-master.git,,5 days,0
scout,oomph.git,"Unnamed repository, edit this file 'description' to name the repository.",5 weeks,1
scout,org.eclipse.scout-aggregator.git,Scout Aggregator,4 months,1
scout,org.eclipse.scout.rt.git,Scout RT,5 days,1
scout,org.eclipse.scout.sdk.git,Scout,5 days,1
scout,scout.rt.incubator.git,Scout RT Incubator,4 months,1
sequoyah,org.eclipse.sequoyah.git,sequoyah project repository,4 years,0
servertools,webtools.servertools.devsupport.git,servertools project repository,8 months,1
servertools,webtools.servertools.docs.git,servertools project repository,2 months,0
servertools,webtools.servertools.git,servertools project repository,4 weeks,1
servertools,webtools.servertools.tests.git,servertools project repository,2 months,0
simopenpass,simopenpass.git,"Unnamed repository, edit this file 'description' to name the repository.",6 weeks,1
simrel,org.eclipse.simrel.build.git,,36 min.,0
simrel,org.eclipse.simrel.oldcvssimrelprojects.git,,19 months,0
simrel,org.eclipse.simrel.tools.git,,3 days,1
sirius,org.eclipse.sirius.git,Sirius,29 hours,1
sirius,org.eclipse.sirius.legacy.git,Sirius Legacy,19 months,0
sisu,org.eclipse.sisu.inject.git,Sisu: @Inject support,3 months,1
sisu,org.eclipse.sisu.mojos.git,Sisu: Maven mojos,10 months,1
sisu,org.eclipse.sisu.plexus.git,Sisu: Plexus support,4 months,1
skalli,org.eclipse.skalli.git,Skalli,46 hours,1
smila,org.eclipse.smila.core.git,Main SMILA project,3 weeks,1
smila,org.eclipse.smila.tooling.git,Additional tools for SMILA project,2 years,0
sourceediting,webtools.sourceediting.git,sourceediting project repository,12 days,1
sourceediting,webtools.sourceediting.tests.git,sourceediting project repository (archived for versions up to 3.7.x),13 months,0
sourceediting,webtools.sourceediting.xpath.git,sourceediting project repository,12 months,0
sourceediting,webtools.sourceediting.xpath.tests.git,sourceediting project repository,12 months,0
sourceediting,webtools.sourceediting.xsl.git,sourceediting project repository,12 months,0
sourceediting,webtools.sourceediting.xsl.tests.git,sourceediting project repository,12 months,0
sphinx,org.eclipse.sphinx.git,Sphinx Project Repository,2 weeks,1
stardust,all.git,All from stardust in workspace,3 years,1
stardust,org.eclipse.stardust.build.tools.git,/stardust/build.tools (excludes folder /bin AS LONG AS CONTAINED JARs ARE NOT AP...,5 days,1
stardust,org.eclipse.stardust.components.git,/stardust/components/,5 days,1
stardust,org.eclipse.stardust.deploy.jee.git,stardust project repository,5 days,1
stardust,org.eclipse.stardust.documentation.git,/stardust/documentation/,5 days,0
stardust,org.eclipse.stardust.engine.git,/stardust/engine/,5 days,1
stardust,org.eclipse.stardust.examples.git,stardust project repository,5 days,0
stardust,org.eclipse.stardust.git,/stardust/org.eclipse.stardust/,5 days,1
stardust,org.eclipse.stardust.ide.git,stardust project repository,5 days,1
stardust,org.eclipse.stardust.ide.simulation.git,stardust project repository,5 days,1
stardust,org.eclipse.stardust.ide.wst.git,/stardust/ide.wst/,5 days,1
stardust,org.eclipse.stardust.product.git,/stardust/product/,5 days,1
stardust,org.eclipse.stardust.reporting.app.web.git,/stardust/reporting.app.web/,12 days,1
stardust,org.eclipse.stardust.reporting.rt.git,stardust project repository,5 days,1
stardust,org.eclipse.stardust.reporting.ui.git,stardust project repository,12 days,1
stardust,org.eclipse.stardust.repository.git,/stardust/repository/,5 days,1
stardust,org.eclipse.stardust.ui.common.git,/stardust/ui.common/,5 days,1
stardust,org.eclipse.stardust.ui.web.git,/stardust/ui.web/,5 days,1
statet,org.eclipse.statet.git,"Unnamed repository, edit this file 'description' to name the repository.",5 months,1
stem,org.eclipse.stem.data.earthscience.git,STEM Earth Science denominator data, including 10 years of temperature, rainfall...,3 years,0
stem,org.eclipse.stem.data.git,STEM denominator data, including administrative boundaries and human population ...,13 months,0
stem,org.eclipse.stem.git,Spatiotemporal Epidemiological Modeler (STEM) core repository. Includes epidemi...,4 months,1
sw360,org.eclipse.sw360.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,1
swtbot,org.eclipse.swtbot.git,SWTBot Code repository,3 weeks,1
tcf,org.eclipse.tcf.agent.git,Target Communication Framework (TCF) C agent repo.,3 weeks,1
tcf,org.eclipse.tcf.git,Target Communication Framework (TCF) main repo.,12 days,1
teneo,org.eclipse.emf.teneo.git,Teneo, ORM persistence for EMF, http://wiki.eclipse.org/Teneo,3 years,0
test,org.eclipse.emf.cdo1.git,test project repository,5 years,0
texo,org.eclipse.emf.texo.git,Texo Pojo, JPA, orm generation, http://wiki.eclipse.org/Texo,5 weeks,1
tigerstripe,org.eclipse.tigerstripe.git,Tigerstripe project repository,13 days,1
tinydtls,org.eclipse.tinydtls.git,"Unnamed repository, edit this file 'description' to name the repository.",5 days,1
titan,titan.ProtocolModules.CoAP.git,CoAP Protocol Module,6 weeks,1
titan,titan.ProtocolModules.DSS1_ETSI.git,DSS1 ETSI Protocol Module,4 weeks,1
titan,titan.ProtocolModules.DUA.git,DUA Protocol Module,4 weeks,1
titan,titan.ProtocolModules.EAP.git,EAP Protocol Module,4 weeks,1
titan,titan.ProtocolModules.GRE.git,GRE Protocol Module,4 weeks,1
titan,titan.ProtocolModules.M2PA.git,M2PA Protocol Module,4 weeks,1
titan,titan.ProtocolModules.MQTT.git,MQTT Protocol Module,4 months,1
titan,titan.ProtocolModules.NDP.git,NDP Protocol Module,4 weeks,1
titan,titan.ProtocolModules.NTAF.git,NTAF Protocol Module,4 weeks,1
titan,titan.ProtocolModules.ROSE.git,ROSE Protocol Module,4 weeks,1
titan,titan.ProtocolModules.SCTP.git,SCTP protocol module,4 weeks,1
titan,titan.ProtocolModules.SDP.git,SDP Protocol Module,4 weeks,1
titan,titan.ProtocolModules.STUN_RFC5389.git,STUN Protocol Module,4 weeks,1
titan,titan.ProtocolModules.SUA.git,SUA Protocol Module,4 weeks,1
titan,titan.ProtocolModules.TLS.git,TLS Protocol Module,4 weeks,1
titan,titan.ProtocolModules.WTP.git,WTP Protocol Module,4 weeks,1
titan,titan.TestPorts.SOCKET_CANasp.git,Old CAN bus test port repo,4 months,0
titan,titan.TestPorts.SocketCANasp.git,CAN bus test port,3 weeks,0
tm,org.eclipse.tm.git,Target Management,7 weeks,1
tm,org.eclipse.tm.terminal.git,"Unnamed repository, edit this file 'description' to name the repository.",12 days,1
tracecompass,org.eclipse.tracecompass.git,Trace Compass,19 hours,1
tracecompass,tracecompass-test-traces.git,Trace Compass test traces repository,2 months,0
tycho,org.eclipse.tycho-demo.git,Tycho demos,3 months,0
tycho,org.eclipse.tycho.extras.git,Tycho Extras,5 weeks,0
tycho,org.eclipse.tycho.git,Tycho,28 hours,1
tycho,org.eclipse.tycho.nexus.git,Nexus,23 months,0
tycho,org.eclipse.tycho.p2-fork.git,tycho project repository,,0
tycho,org.eclipse.tycho.targeteditor.git,Target editor extensions,3 years,0
uml2,org.eclipse.uml2.git,uml2 project repository,8 weeks,1
uml2,org.eclipse.uml2.git.040612,uml2 project repository,5 years,0
uml2,org.eclipse.uml2.test.git,uml2 project repository,5 years,0
umlgen,org.eclipse.umlgen.git,Eclipse UML Generators,5 months,1
unide,org.eclipse.unide.git,"Unnamed repository, edit this file 'description' to name the repository.",3 months,1
uomo,org.eclipse.uomo.git,Eclipse UOMo repository,12 months,1
upr,upr.git,upr project repository,16 months,0
usssdk,org.eclipse.usssdk.git,"Unnamed repository, edit this file 'description' to name the repository.",4 days,1
viatra,org.eclipse.viatra.examples.git,"Unnamed repository, edit this file 'description' to name the repository.",12 days,0
viatra,org.eclipse.viatra.git,VIATRA (VIsual Automated model TRAnsformations),5 days,1
viatra,org.eclipse.viatra.modelobfuscator.git,[no description],3 weeks,1
viatra,org.eclipse.viatra2.vpm.git,VIATRA VPM,22 months,0
virgo,org.eclipse.virgo.apps.git,Virgo Applications - Virgo-supplied applications,7 months,1
virgo,org.eclipse.virgo.artifact-repository.git,Virgo Artifact Repository - Repository support,7 months,0
virgo,org.eclipse.virgo.bundlor.git,virgo project repository,10 months,1
virgo,org.eclipse.virgo.documentation.git,Virgo Documentation - User documentation source,6 days,0
virgo,org.eclipse.virgo.eclipse-mirror.git,Virgo Eclipse Mirror repository. This repository is used for mirroring and conve...,7 months,0
virgo,org.eclipse.virgo.gradle-build.git,virgo project repository,2 years,0
virgo,org.eclipse.virgo.ide.git,Virgo IDE - Eclipse IDE support,6 days,1
virgo,org.eclipse.virgo.jetty-server.git,Integration of the Jetty web server in to Virgo,3 years,0
virgo,org.eclipse.virgo.kernel-system-verification-tests.git,Virgo Kernel SVTs - Kernel system verification tests,3 years,0
virgo,org.eclipse.virgo.kernel-tools.git,Virgo Kernel Tools - Tools integration layer,10 months,1
